attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,consistency,fluency,label,difficulty
alzantot,snli,189,0,2,0.93790428,0.959965278,0.9726233,0.9891242,0.419076785,0.9879141,0.887086585,0.9754862,0.221421928,0.46494391,0.844651442,0.883814103,0.881009615,0.90538978,0.273352712,,"[[[[Premise]]]]: A man, dressed in a green shirt with black pants, is transporting luggage strapped to a wheelbarrow, down a cobblestone road.>>>>[[[[Hypothesis]]]]: The road is [[footpath]].","[[[[Premise]]]]: A man, dressed in a green shirt with black pants, is transporting luggage strapped to a wheelbarrow, down a cobblestone road.>>>>[[[[Hypothesis]]]]: The road is [[pavement]].",4.5,3.6666666666666665,0.0,2.3333333333333335
bae,snli,386,1,2,0.849232664,0.940257353,0.93393123,0.9408175,0.816209281,0.9505843,2.222514494,0.9434939,0.336173136,0.458433494,0.846053686,0.916266026,0.915865385,0.852808011,0.172098474,,[[[[Premise]]]]: A pregnant lady [[comes]] on stage while holding a flag behind her.>>>>[[[[Hypothesis]]]]: A woman is making music.,[[[[Premise]]]]: A pregnant lady [[singing]] on stage while holding a flag behind her.>>>>[[[[Hypothesis]]]]: A woman is making music.,2.0,1.5,2.0,3.75
pso,snli,388,0,2,0.735873632,0.819901316,0.81957674,0.81964475,1.430351711,0.90252733,2.63900922,0.90579784,0.434055582,0.451422276,0.842848558,0.829326923,0.841346154,0.832328117,0.196667826,,[[[[Premise]]]]: A young child is being held by another child looking straight at us.>>>>[[[[Hypothesis]]]]: The [[preteen]] is forty [[grades]] [[foregone]].,[[[[Premise]]]]: A young child is being held by another child looking straight at us.>>>>[[[[Hypothesis]]]]: The [[child]] is forty [[years]] [[old]].,2.5,1.0,2.0,2.6666666666666665
alzantot,snli,95,0,1,0.935133484,1.07015873,0.9388236,0.94556916,0.729442825,0.9557254,1.874333299,0.98351765,0.181562169,0.458333333,0.835637019,0.868990385,0.846554487,0.966530889,0.158759415,,"[[[[Premise]]]]: A family, daughter in the middle, walks down the street.>>>>[[[[Hypothesis]]]]: the family is [[seat]]","[[[[Premise]]]]: A family, daughter in the middle, walks down the street.>>>>[[[[Hypothesis]]]]: the family is [[seated]]",2.0,1.3333333333333333,2.0,4.0
pso,snli,219,1,2,0.866641573,0.922809829,0.9631608,0.95061004,0.771601683,0.966417,1.823093235,0.93906295,0.34910486,0.462439904,0.844350962,0.903044872,0.890224359,0.775213248,0.250195525,,[[[[Premise]]]]: Four cheerleaders performing a cheer on court at UCLA.>>>>[[[[Hypothesis]]]]: Cheerleaders performing a [[push]].,[[[[Premise]]]]: Four cheerleaders performing a cheer on court at UCLA.>>>>[[[[Hypothesis]]]]: Cheerleaders performing a [[cheer]].,2.0,2.6666666666666665,0.0,2.0
pso,snli,211,0,1,0.849232664,0.940257353,0.94585824,0.92080396,1.00346883,0.9479675,2.188301296,0.9073735,0.430410397,0.464543269,0.83603766,0.897435897,0.892628205,0.847360688,0.191895243,,[[[[Premise]]]]: A goalie tries to catch a ball during a soccer game.>>>>[[[[Hypothesis]]]]: the goalie [[waive]] during the game.,[[[[Premise]]]]: A goalie tries to catch a ball during a soccer game.>>>>[[[[Hypothesis]]]]: the goalie [[quit]] during the game.,2.0,1.3333333333333333,2.0,4.333333333333333
alzantot,snli,211,0,2,0.685923812,0.819477791,0.8809375,0.8841345,1.234124977,0.9376747,2.398817215,0.8850496,0.479479824,0.465344551,0.838441506,0.914663462,0.91025641,0.871386212,0.21143788,,[[[[Premise]]]]: [[una]] goalie [[attempting]] to catch a ball during a soccer game.>>>>[[[[Hypothesis]]]]: the goalie [[ceased]] during the game.,[[[[Premise]]]]: [[A]] goalie [[tries]] to catch a ball during a soccer game.>>>>[[[[Hypothesis]]]]: the goalie [[quit]] during the game.,2.0,1.75,0.0,3.6666666666666665
bae,snli,152,0,2,0.834756351,0.922809829,0.9704501,0.9421564,0.903577929,0.96695983,1.431529788,0.97478557,0.224563855,0.461237981,0.845953526,0.930689103,0.913461538,0.919663376,0.209886108,,[[[[Premise]]]]: A man in a striped shirt and lady in a [[colored]] hat are watching a young band perform on stage.>>>>[[[[Hypothesis]]]]: A lady has a white [[bonnet]].,[[[[Premise]]]]: A man in a striped shirt and lady in a [[black]] hat are watching a young band perform on stage.>>>>[[[[Hypothesis]]]]: A lady has a white [[hat]].,3.0,2.0,0.0,4.25
bae,snli,247,0,2,0.828247753,0.931972789,0.93893635,0.95436794,0.788008926,0.82265365,4.259194218,0.85836387,0.53223347,0.468549679,0.844350962,0.925080128,0.913060897,0.777624792,0.186280922,,[[[[Premise]]]]: An african american [[home]] with 2 young girls.>>>>[[[[Hypothesis]]]]: There is a man with his daughters.,[[[[Premise]]]]: An african american [[woman]] with 2 young girls.>>>>[[[[Hypothesis]]]]: There is a man with his daughters.,3.0,2.0,1.0,4.25
alzantot,snli,51,1,0,0.908654961,0.947287199,0.9288114,0.8732935,1.073891873,0.7359513,4.839586631,0.7986793,0.634540419,0.461838942,0.844651442,0.889423077,0.884615385,0.647684231,0.11472967,,[[[[Premise]]]]: A man trying to block another man from shooting the ball in.>>>>[[[[Hypothesis]]]]: The man is is near the [[prom]].,[[[[Premise]]]]: A man trying to block another man from shooting the ball in.>>>>[[[[Hypothesis]]]]: The man is is near the [[ball]].,2.0,2.0,1.0,2.5
pso,snli,196,0,2,0.872512939,0.949445983,0.9127232,0.9032655,1.152293048,0.81216305,3.512141002,0.86416584,0.521218084,0.457832532,0.845853365,0.881810897,0.873798077,0.678370397,0.190465159,,[[[[Premise]]]]: A man in a black hat and jacket is sitting down.>>>>[[[[Hypothesis]]]]: A man is being [[enamored]] for breaking a window.,[[[[Premise]]]]: A man in a black hat and jacket is sitting down.>>>>[[[[Hypothesis]]]]: A man is being [[arrested]] for breaking a window.,2.25,4.0,0.0,2.5
bae,snli,355,0,1,0.889526036,0.956162415,0.98151445,0.94969785,0.790033476,0.93254083,2.400278143,0.92529726,0.386530094,0.45713141,0.845252404,0.952323718,0.94911859,0.896716559,0.216096486,,[[[[Premise]]]]: A young man standing on a plank of wood and using a large saw to cut it.>>>>[[[[Hypothesis]]]]: A young [[kid]] is cutting wood.,[[[[Premise]]]]: A young man standing on a plank of wood and using a large saw to cut it.>>>>[[[[Hypothesis]]]]: A young [[girl]] is cutting wood.,1.5,2.0,1.0,3.3333333333333335
pso,snli,36,0,2,0.567672171,0.637142857,0.8072016,0.7795073,1.68825511,0.69010997,5.212994599,0.7932482,0.643042477,0.459735577,0.845152244,0.837339744,0.836137821,0.680282074,0.207393418,,[[[[Premise]]]]: A child wearing a red shirt playing.>>>>[[[[Hypothesis]]]]: A [[preteen]] wearing a [[lemon]] [[waist]] [[resting]].,[[[[Premise]]]]: A child wearing a red shirt playing.>>>>[[[[Hypothesis]]]]: A [[child]] wearing a [[yellow]] [[shirt]] [[sleeping]].,3.6666666666666665,1.3333333333333333,0.0,3.0
alzantot,snli,281,0,2,0.803154666,0.926815257,0.9329301,0.9512237,0.709665645,0.96195686,1.65580363,0.9646702,0.265818828,0.460036058,0.845953526,0.933894231,0.929487179,0.847667366,0.164202994,,"[[[[Premise]]]]: From afar, a person walks down a path through a brown field.>>>>[[[[Hypothesis]]]]: A [[somebody]] [[picked]] a selfie.","[[[[Premise]]]]: From afar, a person walks down a path through a brown field.>>>>[[[[Hypothesis]]]]: A [[person]] [[takes]] a selfie.",2.5,2.3333333333333335,2.0,3.6666666666666665
pso,snli,386,1,0,0.897954214,0.941061581,0.9476164,0.9103596,1.035296837,0.96243066,1.923439411,0.8886651,0.471879166,0.460036058,0.845152244,0.856169872,0.856169872,0.761668485,0.155077842,,[[[[Premise]]]]: A pregnant lady singing on stage while holding a flag behind her.>>>>[[[[Hypothesis]]]]: A woman is making [[fugue]].,[[[[Premise]]]]: A pregnant lady singing on stage while holding a flag behind her.>>>>[[[[Hypothesis]]]]: A woman is making [[music]].,3.0,2.3333333333333335,1.0,2.6666666666666665
alzantot,snli,320,2,0,0.866137426,0.935329861,0.97357917,0.9911827,0.381540176,0.96839195,1.541869025,0.97070885,0.242037406,0.466145833,0.843950321,0.941105769,0.932291667,0.856624842,0.212639305,,"[[[[Premise]]]]: An outdoor rodeo, with a cowboy in a red shirt riding a bucking horse while others watch from the sidelines.>>>>[[[[Hypothesis]]]]: A [[bullfighter]] is [[attempting]] to keep his horse calm for the competition","[[[[Premise]]]]: An outdoor rodeo, with a cowboy in a red shirt riding a bucking horse while others watch from the sidelines.>>>>[[[[Hypothesis]]]]: A [[cowboy]] is [[trying]] to keep his horse calm for the competition",3.0,3.75,2.0,4.333333333333333
pso,snli,71,1,0,0.913202701,0.947287199,0.94672906,0.9757464,0.61573274,0.88567674,3.603838245,0.9199789,0.400052879,0.465144231,0.837239583,0.820512821,0.826522436,0.792140061,0.139623105,,"[[[[Premise]]]]: Three men playing cricket wearing all white, with one man wearing a blue helmet.>>>>[[[[Hypothesis]]]]: Four men are playing [[earthworm]].","[[[[Premise]]]]: Three men playing cricket wearing all white, with one man wearing a blue helmet.>>>>[[[[Hypothesis]]]]: Four men are playing [[cricket]].",1.6666666666666667,2.0,0.0,3.5
pso,snli,62,0,2,0.953358935,0.954493919,0.93734777,0.98489046,0.496531414,0.9423064,2.228616309,0.92141205,0.396454156,0.464342949,0.84375,0.888621795,0.899038462,0.758260584,0.161474919,,[[[[Premise]]]]: A man in an orange hat and brown jacket and pants running on snow in snowshoes.>>>>[[[[Hypothesis]]]]: a man running on the [[way]],[[[[Premise]]]]: A man in an orange hat and brown jacket and pants running on snow in snowshoes.>>>>[[[[Hypothesis]]]]: a man running on the [[track]],2.25,2.3333333333333335,1.0,3.0
pso,snli,129,1,0,0.964857158,0.964923469,0.95547986,0.9666879,0.709057912,0.98539144,1.034055673,0.973485,0.230282706,0.458834135,0.845152244,0.915464744,0.901041667,0.883481592,0.262208205,,[[[[Premise]]]]: A woman with dark hair and a red dress sits next to a little girl with blond-hair and a white dress while reading a book.>>>>[[[[Hypothesis]]]]: A person with [[moustache]],[[[[Premise]]]]: A woman with dark hair and a red dress sits next to a little girl with blond-hair and a white dress while reading a book.>>>>[[[[Hypothesis]]]]: A person with [[hair]],1.5,1.6666666666666667,2.0,3.0
pso,snli,195,0,1,0.905766335,0.958018273,0.96867085,0.8815823,1.310275023,0.95084864,1.996031888,0.79035634,0.64752402,0.460136218,0.843549679,0.765625,0.759615385,0.677207059,0.139863469,,"[[[[Premise]]]]: A couple dancing alfresco dressed in turquoise tops, the lady is held up in the air with her hands stretched upwards.>>>>[[[[Hypothesis]]]]: [[Stuff]] is dancing","[[[[Premise]]]]: A couple dancing alfresco dressed in turquoise tops, the lady is held up in the air with her hands stretched upwards.>>>>[[[[Hypothesis]]]]: [[Nobody]] is dancing",1.5,2.5,1.0,2.5
pso,snli,269,2,0,0.894225554,0.958018273,0.9814288,0.983851,0.564238159,0.9549008,1.867012592,0.9702584,0.243891588,0.463141026,0.844150641,0.914663462,0.911458333,0.921377981,0.162053454,,"[[[[Premise]]]]: A young boy with blue shorts, at an indoor pool jumping into the water.>>>>[[[[Hypothesis]]]]: a young kid jumps into the [[surf]] during swim lessons","[[[[Premise]]]]: A young boy with blue shorts, at an indoor pool jumping into the water.>>>>[[[[Hypothesis]]]]: a young kid jumps into the [[water]] during swim lessons",3.3333333333333335,2.0,2.0,3.0
pso,snli,275,2,0,0.909593063,0.964109782,0.97911257,0.99226314,0.381946238,0.96538204,1.622207743,0.8463991,0.554257984,0.464443109,0.842748397,0.915064103,0.915464744,0.75419243,0.201893471,,[[[[Premise]]]]: A man in an orange hat and brown jacket and pants running on snow in snowshoes.>>>>[[[[Hypothesis]]]]: a [[ape]] running with snowshoes on the snow looking for the lost girl,[[[[Premise]]]]: A man in an orange hat and brown jacket and pants running on snow in snowshoes.>>>>[[[[Hypothesis]]]]: a [[man]] running with snowshoes on the snow looking for the lost girl,1.6666666666666667,2.25,1.0,3.0
alzantot,snli,315,0,1,0.909593063,0.961292308,0.9647435,0.9734603,0.637596638,0.98630327,1.098719083,0.98701197,0.161171005,0.467447917,0.842848558,0.923878205,0.923477564,0.904820788,0.227711085,,"[[[[Premise]]]]: Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have [[forfeited]] their pants.>>>>[[[[Hypothesis]]]]: The men are wearing pants.","[[[[Premise]]]]: Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have [[lost]] their pants.>>>>[[[[Hypothesis]]]]: The men are wearing pants.",4.333333333333333,2.25,0.0,4.75
