attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,fluency,consistency,label,difficulty
pso,mnli,84,0,2,0.96582361,0.978718377,0.9780934,0.9773718,0.552044248,0.95914704,1.235617989,0.9537934,0.303995736,0.460436699,0.844951923,0.945913462,0.941907051,0.836971372,0.156080376,,[[[[Premise]]]]: in you know just dealing with the customer maybe that's there only reason why they don't it'd seem like they'd just put a little barrel out there and say it pour here and go on  we'll take your money>>>>[[[[Hypothesis]]]]: The customers were just one of many [[arguments]].,[[[[Premise]]]]: in you know just dealing with the customer maybe that's there only reason why they don't it'd seem like they'd just put a little barrel out there and say it pour here and go on  we'll take your money>>>>[[[[Hypothesis]]]]: The customers were just one of many [[reasons]].,1.0,2.6666666666666665,2.0,2.5
bae,mnli,68,2,1,0.880111737,0.888020833,0.92794436,0.9020172,0.954272333,0.9708512,1.420796002,0.967485,0.255010092,0.460236378,0.840044071,0.930689103,0.939903846,0.931332839,0.111597966,,[[[[Premise]]]]: Through Responsive and Naturalistic Approaches.>>>>[[[[Hypothesis]]]]: Natural approaches are [[available]] ,[[[[Premise]]]]: Through Responsive and Naturalistic Approaches.>>>>[[[[Hypothesis]]]]: Natural approaches are [[key]] ,3.3333333333333335,1.6666666666666667,1.0,2.5
bae,mnli,169,0,2,0.923473262,0.967598566,0.983078,0.93464994,1.034913538,0.9799783,1.015680773,0.8037476,0.62650205,0.457331731,0.84364984,0.907852564,0.904246795,0.680344868,0.28034755,,"[[[[Premise]]]]: In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support.>>>>[[[[Hypothesis]]]]: Kemal Ataturk was [[always]] affiliated with the Ottoman Empire.","[[[[Premise]]]]: In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support.>>>>[[[[Hypothesis]]]]: Kemal Ataturk was [[never]] affiliated with the Ottoman Empire.",3.6666666666666665,2.3333333333333335,0.0,3.6666666666666665
alzantot,mnli,265,1,0,0.830918399,0.905748365,0.95704174,0.97683394,0.526933022,0.9450619,1.429471899,0.9528718,0.307012132,0.455929487,0.844951923,0.932291667,0.927884615,0.885174149,0.270865085,,"[[[[Premise]]]]: [[Additionally]], these excise taxes, like other taxes, are determined through the exercise of the power of the [[Council]] to compel payment.>>>>[[[[Hypothesis]]]]: Government's [[proficiency]] to force payment is how excise taxes are calculated.","[[[[Premise]]]]: [[Moreover]], these excise taxes, like other taxes, are determined through the exercise of the power of the [[Government]] to compel payment.>>>>[[[[Hypothesis]]]]: Government's [[ability]] to force payment is how excise taxes are calculated.",4.0,4.0,1.0,2.3333333333333335
bae,mnli,305,2,0,0.81493629,0.944567016,0.9859664,0.9746685,0.60936832,0.97835743,0.935703942,0.9815196,0.192252244,0.457932692,0.84385016,0.971554487,0.969951923,0.900163794,0.231783755,,"[[[[Premise]]]]: Second, reducing the rate of HIV transmission is in any event not the only [[societal]] goal worth  If it were, we'd outlaw sex entirely.>>>>[[[[Hypothesis]]]]: [[increasing]] the transmission of HIV is just as important as reducing [[substance]] abuse.","[[[[Premise]]]]: Second, reducing the rate of HIV transmission is in any event not the only [[social]] goal worth  If it were, we'd outlaw sex entirely.>>>>[[[[Hypothesis]]]]: [[Reducing]] the transmission of HIV is just as important as reducing [[drug]] abuse.",1.6666666666666667,3.0,2.0,2.6666666666666665
bae,mnli,375,1,0,0.760856626,0.869130435,0.8620164,0.9290401,0.868380437,0.9476459,1.653179698,0.9424909,0.33914346,0.460737179,0.845653045,0.928685897,0.920272436,0.840837967,0.122638215,,[[[[Premise]]]]: [[maybe]] [[im]] not why i got it right  how do you like your tread mill>>>>[[[[Hypothesis]]]]: That is not the [[point]] I got it.,[[[[Premise]]]]: [[well]] [[that's]] not why i got it right  how do you like your tread mill>>>>[[[[Hypothesis]]]]: That is not the [[reason]] I got it.,1.3333333333333333,2.6666666666666665,2.0,2.0
bae,mnli,368,1,2,0.921050021,0.968619927,0.9927347,0.98089725,0.519673375,0.99057496,0.776267405,0.9937675,0.111646135,0.464643429,0.844551282,0.977564103,0.979967949,0.965615416,0.273376885,,[[[[Premise]]]]: He pulled his cloak [[closer]] and wished for a moment that he had not shaved his head.>>>>[[[[Hypothesis]]]]: The man  wrapped himself tightly in his cloak and was distressed about not having hair. ,[[[[Premise]]]]: He pulled his cloak [[tighter]] and wished for a moment that he had not shaved his head.>>>>[[[[Hypothesis]]]]: The man  wrapped himself tightly in his cloak and was distressed about not having hair. ,3.3333333333333335,4.666666666666667,1.0,3.6666666666666665
alzantot,mnli,183,2,0,0.898539608,0.957777778,0.9518544,0.9913945,0.333840673,0.9797193,1.282059194,0.9632495,0.271111063,0.458934295,0.844150641,0.944310897,0.939503205,0.802002761,0.278682133,,[[[[Premise]]]]: Arafat is also ailing and has no clear successor.>>>>[[[[Hypothesis]]]]: Arafat is also [[patient]] and has no clear successor that is willing to wear his hats.,[[[[Premise]]]]: Arafat is also ailing and has no clear successor.>>>>[[[[Hypothesis]]]]: Arafat is also [[ailing]] and has no clear successor that is willing to wear his hats.,4.333333333333333,3.0,2.0,4.333333333333333
alzantot,mnli,147,0,2,0.759592965,0.922222222,0.94006914,0.9652296,0.671550957,0.93504184,1.854960657,0.94559664,0.329858675,0.464242788,0.844551282,0.918669872,0.928285256,0.913223511,0.189582214,,[[[[Premise]]]]: Small [[town]] like Louisian lay scattered all over the [[Hydrocarbon]] Fields; the main train line branched between them.>>>>[[[[Hypothesis]]]]: There was only one [[municipal]] in the oil fields.,[[[[Premise]]]]: Small [[towns]] like Louisian lay scattered all over the [[Oil]] Fields; the main train line branched between them.>>>>[[[[Hypothesis]]]]: There was only one [[town]] in the oil fields.,3.75,3.25,2.0,3.0
pso,mnli,241,1,0,0.924475405,0.954493919,0.9804498,0.9419516,0.822594452,0.9710582,1.201638592,0.8704112,0.509094992,0.458934295,0.842247596,0.887820513,0.89463141,0.767909259,0.29186961,,"[[[[Premise]]]]: There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.>>>>[[[[Hypothesis]]]]: The village has a [[cabaret]].","[[[[Premise]]]]: There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.>>>>[[[[Hypothesis]]]]: The village has a [[restaurant]].",4.0,2.3333333333333335,2.0,3.6666666666666665
alzantot,mnli,354,1,0,0.931838481,0.972131519,0.9787943,0.9793622,0.524904691,0.98705435,0.731401663,0.97207844,0.236311651,0.459435096,0.842648237,0.962740385,0.959535256,0.852611828,0.280210925,,"[[[[Premise]]]]: Since 1998, LSC has initiated and overseen significant structural changes in the number and configuration of LSC-funded programs in order to develop more powerful and effective state delivery systems.>>>>[[[[Hypothesis]]]]: LSC has developed [[optimum]] state delivery systems.","[[[[Premise]]]]: Since 1998, LSC has initiated and overseen significant structural changes in the number and configuration of LSC-funded programs in order to develop more powerful and effective state delivery systems.>>>>[[[[Hypothesis]]]]: LSC has developed [[better]] state delivery systems.",4.333333333333333,4.0,1.0,3.3333333333333335
alzantot,mnli,155,2,0,0.752718114,0.866086957,0.92556244,0.9557033,0.746378387,0.85612845,2.438426236,0.9147727,0.412861702,0.46494391,0.845853365,0.939903846,0.941907051,0.841286463,0.233177447,,"[[[[Premise]]]]: I went on, 'I'm going to warn you, [[if]] you [[love]] it or not. >>>>[[[[Hypothesis]]]]: You are [[loony]] that the boy doesn't like you. ","[[[[Premise]]]]: I went on, 'I'm going to warn you, [[whether]] you [[like]] it or not. >>>>[[[[Hypothesis]]]]: You are [[mad]] that the boy doesn't like you. ",3.6666666666666665,3.5,2.0,4.5
pso,mnli,232,0,2,0.93365107,0.97360732,0.9663437,0.9949761,0.298180867,0.96113163,1.278094495,0.97883296,0.205752759,0.462339744,0.845052083,0.953525641,0.955528846,0.841271704,0.198778547,,[[[[Premise]]]]: if it had rained any more in the last two weeks instead of planting Saint Augustine grass in the front yard i think i would have plowed everything under and had a rice field>>>>[[[[Hypothesis]]]]: It's [[needed]] super dry.,[[[[Premise]]]]: if it had rained any more in the last two weeks instead of planting Saint Augustine grass in the front yard i think i would have plowed everything under and had a rice field>>>>[[[[Hypothesis]]]]: It's [[beed]] super dry.,2.0,3.0,0.0,3.25
pso,mnli,398,0,1,0.741944663,0.793367347,0.94868445,0.96240735,0.697009126,0.9067287,2.587189382,0.94194466,0.340750197,0.466446314,0.843048878,0.891826923,0.898637821,0.92498337,0.166003553,,[[[[Premise]]]]: [Requires free registration.>>>>[[[[Hypothesis]]]]: Does not require [[unlimited]] registration. ,[[[[Premise]]]]: [Requires free registration.>>>>[[[[Hypothesis]]]]: Does not require [[free]] registration. ,2.75,3.0,1.0,2.3333333333333335
pso,mnli,52,2,0,0.73488892,0.905454545,0.83716434,0.92596626,0.92383879,0.958126,1.876265071,0.89057565,0.467812861,0.458733974,0.840044071,0.876201923,0.884214744,0.827392614,0.177474425,,[[[[Premise]]]]: Vrenna looked it and smiled.>>>>[[[[Hypothesis]]]]: Vrenna was [[dilly]] it was destroyed,[[[[Premise]]]]: Vrenna looked it and smiled.>>>>[[[[Hypothesis]]]]: Vrenna was [[happy]] it was destroyed,1.6666666666666667,2.0,2.0,2.6666666666666665
pso,mnli,148,2,1,0.80032032,0.920940171,0.92939186,0.94865036,0.694767586,0.8759732,2.834172412,0.902004,0.442709882,0.456330128,0.845552885,0.940705128,0.945512821,0.826782513,0.157546595,,[[[[Premise]]]]: that would be good what'd you say>>>>[[[[Hypothesis]]]]: [[Conclude]] down what you would say.,[[[[Premise]]]]: that would be good what'd you say>>>>[[[[Hypothesis]]]]: [[Write]] down what you would say.,1.0,2.75,2.0,2.6666666666666665
alzantot,mnli,45,1,2,0.873935133,0.943675509,0.9503167,0.9512153,0.722788409,0.97215754,1.37038079,0.95424366,0.302510727,0.461738782,0.843149038,0.953525641,0.953926282,0.89871406,0.22587533,,[[[[Premise]]]]: Exhibitions are often held in the splendid entrance hall.>>>>[[[[Hypothesis]]]]: The entrance hall is often used to [[hospitality]] exhibitions.,[[[[Premise]]]]: Exhibitions are often held in the splendid entrance hall.>>>>[[[[Hypothesis]]]]: The entrance hall is often used to [[host]] exhibitions.,2.0,2.75,1.0,2.75
bae,mnli,175,1,0,0.658037006,0.841269841,0.864411,0.9779037,0.553851503,0.7049446,4.313301726,0.63736176,0.85163171,0.460436699,0.844751603,0.943910256,0.948717949,0.532276124,0.297703411,,[[[[Premise]]]]: I don't [[mind]].>>>>[[[[Hypothesis]]]]: I am not sure.,[[[[Premise]]]]: I don't [[know]].>>>>[[[[Hypothesis]]]]: I am not sure.,3.6666666666666665,2.25,0.0,3.5
pso,mnli,279,1,2,0.956675889,0.981618656,0.9896225,0.97854644,0.609300438,0.95019513,1.430394308,0.9724939,0.234546717,0.461137821,0.843549679,0.952724359,0.95713141,0.89840132,0.280495209,,"[[[[Premise]]]]: Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.>>>>[[[[Hypothesis]]]]: Being totally supportive of a more comprehensive [[cartel]] model is not something regulators may do.","[[[[Premise]]]]: Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.>>>>[[[[Hypothesis]]]]: Being totally supportive of a more comprehensive [[business]] model is not something regulators may do.",4.5,3.3333333333333335,1.0,3.0
pso,mnli,334,1,2,0.941435682,0.974287947,0.9825795,0.95461637,0.770303086,0.9164435,1.848297158,0.9696637,0.246318234,0.456530449,0.843950321,0.970352564,0.971955128,0.873013633,0.262678085,,"[[[[Premise]]]]: I could've afforded a much swankier, up-town place- or at least, a slightly swankier, mid-town place- but all that space would just encourage me to clutter.>>>>[[[[Hypothesis]]]]: I could have had a bigger [[finance]] but then I would have clutter.","[[[[Premise]]]]: I could've afforded a much swankier, up-town place- or at least, a slightly swankier, mid-town place- but all that space would just encourage me to clutter.>>>>[[[[Hypothesis]]]]: I could have had a bigger [[place]] but then I would have clutter.",3.3333333333333335,2.25,2.0,3.6666666666666665
bae,mnli,177,1,2,0.849232664,0.940257353,0.96574074,0.92822,0.831053727,0.919747,2.301895309,0.9469284,0.325796356,0.46474359,0.843950321,0.919070513,0.924679487,0.877578771,0.264130987,,[[[[Premise]]]]: It was going to be a hot [[summer]]. >>>>[[[[Hypothesis]]]]: It was going to get very warm that day.,[[[[Premise]]]]: It was going to be a hot [[day]]. >>>>[[[[Hypothesis]]]]: It was going to get very warm that day.,4.5,3.0,1.0,3.25
pso,mnli,349,0,2,0.95909656,0.9590625,0.95976716,0.9585276,0.762047823,0.97321445,1.345424304,0.9264457,0.383547391,0.462640224,0.844150641,0.915064103,0.918269231,0.757226974,0.302614196,,[[[[Premise]]]]: The Star reports that actress Jodie Foster is pregnant through artificial insemination.>>>>[[[[Hypothesis]]]]: It has been reported by The Star that Jodie Foster is not [[keen]],[[[[Premise]]]]: The Star reports that actress Jodie Foster is pregnant through artificial insemination.>>>>[[[[Hypothesis]]]]: It has been reported by The Star that Jodie Foster is not [[pregnant]],2.25,1.6666666666666667,2.0,3.5
bae,mnli,54,1,0,0.954297862,0.999996825,0.98533595,0.9952783,0.27055089,0.99321014,0.543141095,0.99494106,0.100588173,0.465144231,0.845653045,0.953125,0.956730769,0.857820207,0.248595284,,"[[[[Premise]]]]: There is very little left of old Ocho  the scant remains of Ocho Rios Fort are probably the [[older]] and now lie in an industrial area, almost forgotten as the tide of progress has swept over the town.>>>>[[[[Hypothesis]]]]: The remains of the Ocho Rios Fort are most likely the oldest parts of the town.","[[[[Premise]]]]: There is very little left of old Ocho  the scant remains of Ocho Rios Fort are probably the [[oldest]] and now lie in an industrial area, almost forgotten as the tide of progress has swept over the town.>>>>[[[[Hypothesis]]]]: The remains of the Ocho Rios Fort are most likely the oldest parts of the town.",3.0,4.75,1.0,2.25
pso,mnli,120,1,0,0.935369573,0.967598566,0.9800293,0.96280026,0.604523976,0.9537396,1.491219765,0.8969172,0.45405453,0.461838942,0.840344551,0.954326923,0.956330128,0.73950721,0.132405679,,"[[[[Premise]]]]: By placing ”one card ”on another ”with mathematical ”precision!"" I watched the card house rising under his hands, story by story. >>>>[[[[Hypothesis]]]]: I watched as he built the [[jail]], story by story.","[[[[Premise]]]]: By placing ”one card ”on another ”with mathematical ”precision!"" I watched the card house rising under his hands, story by story. >>>>[[[[Hypothesis]]]]: I watched as he built the [[house]], story by story.",3.3333333333333335,2.3333333333333335,2.0,2.75
pso,mnli,352,2,1,0.870605795,0.930845277,0.9342825,0.9579558,0.673223804,0.9638091,1.24110294,0.9116839,0.420276302,0.46474359,0.841846955,0.955929487,0.952724359,0.783901003,0.300601679,,"[[[[Premise]]]]: As Russell points out, some 400,000 legal aid cases go unassisted each year.>>>>[[[[Hypothesis]]]]: A lot of legal aid cases go unassisted each year, so this [[supposes]] to be [[pegged]].","[[[[Premise]]]]: As Russell points out, some 400,000 legal aid cases go unassisted each year.>>>>[[[[Hypothesis]]]]: A lot of legal aid cases go unassisted each year, so this [[needs]] to be [[fixed]].",2.0,2.3333333333333335,1.0,3.75
pso,mnli,7,2,0,0.983414366,0.993287365,0.9923954,0.99386185,0.359879528,0.99999994,0,1,0,0.461538462,0.840945513,0.962740385,0.96474359,0.944696271,0.198290866,,"[[[[Premise]]]]: well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday>>>>[[[[Hypothesis]]]]: All invasions of privacy should be severely [[wreaked]], because it will teach the criminals that it is not worth doing.","[[[[Premise]]]]: well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday>>>>[[[[Hypothesis]]]]: All invasions of privacy should be severely [[punished]], because it will teach the criminals that it is not worth doing.",1.0,3.75,2.0,1.0
pso,mnli,271,1,2,0.815355104,0.931972789,0.8884643,0.86172634,1.142543495,0.7829521,3.706529587,0.77092844,0.676862697,0.465144231,0.845753205,0.936298077,0.9375,0.675394961,0.155187066,,[[[[Premise]]]]: oh that might be kind of interesting is it>>>>[[[[Hypothesis]]]]: That [[creaks]] kinda interesting to me.,[[[[Premise]]]]: oh that might be kind of interesting is it>>>>[[[[Hypothesis]]]]: That [[sounds]] kinda interesting to me.,2.0,2.0,1.0,2.75
checklist,mnli,288,1,0,0.942778107,0.975737231,0.99379617,0.99563813,0.229769453,0.99934083,0.163877368,0.9980239,0.062867522,0.460136218,0.842848558,0.966346154,0.965544872,0.886358589,0.219874375,,"[[[[Premise]]]]: Generally, if pH of scrubbing liquor falls below a range of 5.0 to 6.0, additional reagent is required to maintain the reactivity of the absorbent.>>>>[[[[Hypothesis]]]]:  if pH of scrubbing liquor falls below a range of [[10]].0 to 6.0, additional reagent is required","[[[[Premise]]]]: Generally, if pH of scrubbing liquor falls below a range of 5.0 to 6.0, additional reagent is required to maintain the reactivity of the absorbent.>>>>[[[[Hypothesis]]]]:  if pH of scrubbing liquor falls below a range of [[5]].0 to 6.0, additional reagent is required",4.0,2.5,0.0,3.3333333333333335
alzantot,mnli,59,0,2,0.51497322,0.744615385,0.81695634,0.72542495,1.57629531,0.8231009,3.37003701,0.72656083,0.739512302,0.461838942,0.845352564,0.904246795,0.907451923,0.678872526,0.195218873,,[[[[Premise]]]]: He [[looked]] San'doro [[silencer]] in his thoughts.>>>>[[[[Hypothesis]]]]: The [[bloke]] made lots of noise.,[[[[Premise]]]]: He [[watched]] San'doro [[silent]] in his thoughts.>>>>[[[[Hypothesis]]]]: The [[man]] made lots of noise.,2.25,2.6666666666666665,2.0,2.0
bae,mnli,6,1,2,0.688836505,0.997252188,0.93603677,0.9595063,0.60499077,0.954858,1.693384557,0.97369444,0.229371402,0.466145833,0.845252404,0.944711538,0.943910256,0.916955358,0.120280731,,[[[[Premise]]]]: Two natural rock [[formation]] are always pointed out on [[occasion]].>>>>[[[[Hypothesis]]]]: Natural rock formations on visible on excursions.,[[[[Premise]]]]: Two natural rock [[formations]] are always pointed out on [[excursions]].>>>>[[[[Hypothesis]]]]: Natural rock formations on visible on excursions.,2.3333333333333335,3.5,1.0,3.0
alzantot,mnli,288,1,0,0.942778107,0.975737231,0.99204254,0.99165094,0.316806497,0.98342454,0.813928381,0.9819288,0.190111482,0.458032853,0.843149038,0.962740385,0.968349359,0.924484503,0.224672408,,"[[[[Premise]]]]: Generally, if pH of scrubbing liquor falls below a range of 5.0 to 6.0, additional reagent is required to maintain the reactivity of the absorbent.>>>>[[[[Hypothesis]]]]:  if pH of scrubbing liquor falls below a range of 5.0 to 6.0, [[complementary]] reagent is required","[[[[Premise]]]]: Generally, if pH of scrubbing liquor falls below a range of 5.0 to 6.0, additional reagent is required to maintain the reactivity of the absorbent.>>>>[[[[Hypothesis]]]]:  if pH of scrubbing liquor falls below a range of 5.0 to 6.0, [[additional]] reagent is required",4.25,5.0,1.0,3.3333333333333335
bae,mnli,245,0,1,0.865603055,0.943675509,0.93536365,0.81618243,1.294007227,0.93707263,1.92859088,0.8829264,0.483887667,0.459234776,0.844951923,0.916266026,0.925080128,0.647650129,0.176610058,,"[[[[Premise]]]]: I should think some one had taken charge of it."">>>>[[[[Hypothesis]]]]: [[somebody]] one should have taken charge of it.","[[[[Premise]]]]: I should think some one had taken charge of it."">>>>[[[[Hypothesis]]]]: [[No]] one should have taken charge of it.",1.75,1.3333333333333333,1.0,3.25
pso,mnli,378,0,2,0.823249047,0.892278274,0.9650347,0.89771485,1.027813465,0.93979293,1.729872779,0.9223634,0.394047173,0.455629006,0.845252404,0.927884615,0.929086538,0.798875737,0.193015322,,"[[[[Premise]]]]: Cruises are available from the Bhansi Ghat, which is near the CityPalace.>>>>[[[[Hypothesis]]]]: You can [[borrow]] [[sails]] from Phoenix Arizona.","[[[[Premise]]]]: Cruises are available from the Bhansi Ghat, which is near the CityPalace.>>>>[[[[Hypothesis]]]]: You can [[take]] [[cruises]] from Phoenix Arizona.",4.0,3.25,2.0,4.0
pso,mnli,309,2,0,0.851893262,0.918153784,0.949459,0.9546882,0.75483325,0.96789,1.220266784,0.96413606,0.267820599,0.459935897,0.844851763,0.913461538,0.923477564,0.877805412,0.224337781,,[[[[Premise]]]]: and uh the whole organization was targeting to replace whole life policies with a term life with annuity an annuity and uh>>>>[[[[Hypothesis]]]]: [[Exhaustive]] [[livelihood]] policies with a [[semester]] life with annuity could be replaced by the whole organization with something more complicated.,[[[[Premise]]]]: and uh the whole organization was targeting to replace whole life policies with a term life with annuity an annuity and uh>>>>[[[[Hypothesis]]]]: [[Whole]] [[life]] policies with a [[term]] life with annuity could be replaced by the whole organization with something more complicated.,1.75,3.0,1.0,3.0
