attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,consistency,fluency,label,difficulty
bae,yelp,292,1,0,0.889804587,0.953301606,0.9623596,0.96220106,0.774619838,0.9750516,0.940108397,0.94816124,0.321990234,0.450620994,0.843349359,0.439102564,0.440304487,0.736830205,0.125727167,,The selection is so [[much]] in a good way. I had eggs benedict. The eggs were [[poorly]] cooked so many placed kill the eggs. I was a happy camper. Plus going on a Tuesday you get double stamps on their free meal card.,The selection is so [[overwhelming]] in a good way. I had eggs benedict. The eggs were [[perfectly]] cooked so many placed kill the eggs. I was a happy camper. Plus going on a Tuesday you get double stamps on their free meal card.,1.0,2.5,0.0,1.5
pso,yelp,354,0,1,0.993838474,0.996987842,0.9979271,0.9979228,0.282414576,0.96128494,0.951318303,0.97104925,0.240627968,0.462239583,0.841045673,0.731169872,0.726762821,0.462033439,0.183057908,,"I wanted this [[hiatus]] to work out. One of my Boyfriend's co-worker's John, RANTS about this place. I've read their menu about 6 times in the past year. We came here one time last year & ended up walking away because the NIGHT STAFF don't seem to care too kindly about customer service. They just rude, ""What do you want?"". My boyfriend & turned right back around & told the guy ""I'm all set"".  If that wasn't our FIRST bad sign.  Last night at 9pm, (wasn't busy) we tried it & when we should have turned right back around. Same thing again. ""Yo, what can I get ya?"", it was better than the last time. LOL we ordered two philly's. The guy took the time to ask me if I wanted onion. I said no onion PLEASE. Now I'm standing there reading the big sign in English, about how they PRIDE themselves on accuracy . Also make sure you get the receipt or the meal is on them! (cool!!!)  I'm thinking ""WOW, they know to please their customers.""   At this point I'm trying to find a clean table, okay so I wipe down a table myself with my lemon scented hand wipes... I'm dying from the aroma coming from the kitchen.  FOOD TIME - The meat was DRY, it tasted like I was eating STEAKUMS ( ew ?!), with a hint of seasoning. VERY bland & dreadful food. Mine came with hardly any prov. cheese, I had ONION & mushrooms weren't cooked! I thought they would of sauteed the mushrooms at the very least on the grill. A philly is supposed to be juicy, flavorful & and most of all LOADED.  Even after the bad first expereince, I gave you the benefit of the doubt guy! I tipped & I still ended up feeling like I'm the bad guy. How does that work?  I'm putting my foot down, this place deserves a one star rating. I hope the Owner reads these reviews..","I wanted this [[place]] to work out. One of my Boyfriend's co-worker's John, RANTS about this place. I've read their menu about 6 times in the past year. We came here one time last year & ended up walking away because the NIGHT STAFF don't seem to care too kindly about customer service. They just rude, ""What do you want?"". My boyfriend & turned right back around & told the guy ""I'm all set"".  If that wasn't our FIRST bad sign.  Last night at 9pm, (wasn't busy) we tried it & when we should have turned right back around. Same thing again. ""Yo, what can I get ya?"", it was better than the last time. LOL we ordered two philly's. The guy took the time to ask me if I wanted onion. I said no onion PLEASE. Now I'm standing there reading the big sign in English, about how they PRIDE themselves on accuracy . Also make sure you get the receipt or the meal is on them! (cool!!!)  I'm thinking ""WOW, they know to please their customers.""   At this point I'm trying to find a clean table, okay so I wipe down a table myself with my lemon scented hand wipes... I'm dying from the aroma coming from the kitchen.  FOOD TIME - The meat was DRY, it tasted like I was eating STEAKUMS ( ew ?!), with a hint of seasoning. VERY bland & dreadful food. Mine came with hardly any prov. cheese, I had ONION & mushrooms weren't cooked! I thought they would of sauteed the mushrooms at the very least on the grill. A philly is supposed to be juicy, flavorful & and most of all LOADED.  Even after the bad first expereince, I gave you the benefit of the doubt guy! I tipped & I still ended up feeling like I'm the bad guy. How does that work?  I'm putting my foot down, this place deserves a one star rating. I hope the Owner reads these reviews..",2.0,3.5,0.0,4.333333333333333
bae,yelp,230,1,0,0.667278569,0.926880811,0.895235,0.84416455,1.211023741,0.88368195,3.14808579,0.7704498,0.677569518,0.454727564,0.819611378,0.552884615,0.540464744,0.441587704,0.126107627,,The service was great. [[fuck]] the martini. The women were so [[loud]]. Cite place!,The service was great. [[Love]] the martini. The women were so [[helpful]]. Cite place!,1.0,3.0,0.0,2.0
bae,yelp,128,0,1,0.866641573,0.920940171,0.960241,0.8327917,1.433686506,0.6705526,4.80217974,0.47508767,1.024609546,0.457932692,0.838241186,0.525641026,0.530849359,0.395692828,0.094079606,,They [[always]] have Apprentice services available. Even when trying to book months ahead!,They [[never]] have Apprentice services available. Even when trying to book months ahead!,1.0,4.5,1.0,4.5
bae,yelp,40,1,0,0.793811158,0.916241497,0.9400309,0.97907925,0.745597541,0.9620466,1.112818758,0.94600916,0.328605566,0.446915064,0.842047276,0.725160256,0.724358974,0.819302154,0.164436651,,"I have been to so many frozen yogurt joints and nothing yet has [[enjoyed]] razzy fresh - not even Pink Berry. first of all, [[rose]] berry is boring because it only has [[five]] flavor at the most and they're [[not]] these cliche chocolate PMSing flavors.  [[go]] with other frozen yogurt places - particularly Kiwi.  Razzy fresh has a good [[lot]], half dessert/candy flavors, and half fruity.  I [[understand]] their fruit flavors.   They have honeydew, lychee, guava, plum, YUM!   [[today]] I go back to Pittsburgh I always go [[instead]] to Razzy.  I live in Philadelphia now and nothing compares.","I have been to so many frozen yogurt joints and nothing yet has [[beat]] razzy fresh - not even Pink Berry. first of all, [[pink]] berry is boring because it only has [[5]] flavor at the most and they're [[always]] these cliche chocolate PMSing flavors.  [[Likewise]] with other frozen yogurt places - particularly Kiwi.  Razzy fresh has a good [[balance]], half dessert/candy flavors, and half fruity.  I [[love]] their fruit flavors.   They have honeydew, lychee, guava, plum, YUM!   [[Everytime]] I go back to Pittsburgh I always go [[back]] to Razzy.  I live in Philadelphia now and nothing compares.",2.75,4.0,0.0,2.5
bae,yelp,254,1,0,0.87348055,0.945648097,0.9750433,0.95744705,0.772412587,0.98787045,0.837405732,0.90780264,0.429412113,0.449419071,0.840845353,0.655849359,0.649839744,0.825109935,0.129370747,,I just took my doggie the second time for grooming and it was another [[horrible]] job. I have a 90lbs husky chow mix so he has a lot of fur to clean! Thanks for a [[good]] job!,I just took my doggie the second time for grooming and it was another [[great]] job. I have a 90lbs husky chow mix so he has a lot of fur to clean! Thanks for a [[great]] job!,1.75,3.25,1.0,3.0
bae,yelp,376,0,1,0.98527114,0.993332132,0.9962847,0.9948041,0.358335183,0.98605835,0.624741603,0.9776777,0.211292722,0.452624199,0.835536859,0.715144231,0.709535256,0.620840853,0.199637156,,"I would absolutely [[always]] go here again.  I do not drink but I absolutely love to dance. Its over crowded, I expected it to be crowded, but not to the point where I cant even turn around!. I didnt have bottle service but I was near a v.i.p. table and the waitress was being a total batch (if you know what I mean). I was dancing and a beer bottle was on the floor and instead of kicking it again and dancing on it or someone possibly getting hurt, I picked it up and put it on the v.I.p. table and she turned around and tried to hand it to me. I explained it was not mine because I do not drink. She proceeded to shove it on my chest forcefully and demanded I take it, instead of listening to me!.  If you dont like your job, dont work there!!!!","I would absolutely [[never]] go here again.  I do not drink but I absolutely love to dance. Its over crowded, I expected it to be crowded, but not to the point where I cant even turn around!. I didnt have bottle service but I was near a v.i.p. table and the waitress was being a total batch (if you know what I mean). I was dancing and a beer bottle was on the floor and instead of kicking it again and dancing on it or someone possibly getting hurt, I picked it up and put it on the v.I.p. table and she turned around and tried to hand it to me. I explained it was not mine because I do not drink. She proceeded to shove it on my chest forcefully and demanded I take it, instead of listening to me!.  If you dont like your job, dont work there!!!!",1.0,4.5,0.0,4.25
bae,yelp,62,1,0,0.942615148,0.928360101,0.9521219,0.9604397,0.687793404,0.9629358,1.654238059,0.9620652,0.275444706,0.450520833,0.826923077,0.561298077,0.550480769,0.846708131,0.125499042,,"[[get]] coffee, vibe, and food.   TERRIBLE parking, take the light rail if you can!","[[Great]] coffee, vibe, and food.   TERRIBLE parking, take the light rail if you can!",1.5,3.5,0.0,3.0
alzantot,yelp,259,1,0,0.963022567,0.98191354,0.98264325,0.9964828,0.305167305,1,0,1,0,0.445713141,0.842648237,0.580128205,0.569711538,0.825489295,0.221237136,,"I went to Double Helix with two friends for his birthday, and had one of the best experiences I could think ofuck  Way better than I expected.  We started the night with appetizers and wine in the restaurant part of the bar.  Our waitress was extremely friendly, polite, and knew what to recommend based on our tastes.  She even recommended the wines for us perfectly.  As we sat there talking, one of my friends had a question.  He waved down someone he thought was working there, and we come to find out that the person we waved down was the GM of the store.  It was nice to see the GM working just as hard as his employees.  We ended up having a nice conversation about the types of cigars, and he [[again]] helped make recommendations on what we should get for cigars.  Overall, our experience at the store was [[striking]].  The employees were helpful, the GM was amazing, and the food and cigars were [[irreproachable]].","I went to Double Helix with two friends for his birthday, and had one of the best experiences I could think ofuck  Way better than I expected.  We started the night with appetizers and wine in the restaurant part of the bar.  Our waitress was extremely friendly, polite, and knew what to recommend based on our tastes.  She even recommended the wines for us perfectly.  As we sat there talking, one of my friends had a question.  He waved down someone he thought was working there, and we come to find out that the person we waved down was the GM of the store.  It was nice to see the GM working just as hard as his employees.  We ended up having a nice conversation about the types of cigars, and he [[even]] helped make recommendations on what we should get for cigars.  Overall, our experience at the store was [[amazing]].  The employees were helpful, the GM was amazing, and the food and cigars were [[perfect]].",5.0,4.333333333333333,1.0,4.5
alzantot,yelp,141,1,0,0.981715935,0.992479477,0.99641335,0.99902505,0.159541811,0.9973379,0.296958414,0.9977591,0.066945318,0.45322516,0.843149038,0.809294872,0.803285256,0.969717139,0.15750342,,"On my list of Dive Bars to visit when in Las Vegas . . . and so we stopped for a quick one before heading back to our hotel.  Best part . . . I drank for free . . . because I was playing video poker.  Not a bad set-up . . . but will all the glass doors . . . you get a feeling that it is kind or small.  Though we did not eat any thing, the food smelled [[marvellous]].  I will most likely be back on another trip to try this place for lunch . . . only because when I am in Las Vegas . . . I like to dinner out at nicer restaurants . . . and this place has more of that homey atmosphere.","On my list of Dive Bars to visit when in Las Vegas . . . and so we stopped for a quick one before heading back to our hotel.  Best part . . . I drank for free . . . because I was playing video poker.  Not a bad set-up . . . but will all the glass doors . . . you get a feeling that it is kind or small.  Though we did not eat any thing, the food smelled [[wonderful]].  I will most likely be back on another trip to try this place for lunch . . . only because when I am in Las Vegas . . . I like to dinner out at nicer restaurants . . . and this place has more of that homey atmosphere.",4.0,3.0,1.0,3.0
bae,yelp,143,1,0,0.786895374,0.921694786,0.937965,0.9749771,0.870787422,0.98535055,0.691591209,0.9743306,0.226580463,0.444210737,0.842748397,0.664663462,0.673878205,0.872482461,0.188609695,,"This is one of the [[typical]] places to go for craft beer in the Charlotte area.  Large chalkboards display [[anything]] available.  They have beers from almost every local brewery in addition to beers from everywhere.  [[until]] you're like me and have a hard time deciding or do not want to commit to a particular beer, you can a flight of four 5 ounce beers.  The full beers are served in [[german]] style glass mugs.  They also have [[side]] rails on the bar in case you're drinking a crappy beer that [[refuses]] to be enjoyed cold.  they serve food too - my [[folks]] said the pretzel was awesome.  They also have some games [[depicting]] Jenga as [[hard]] as ping pong tables.  They have a [[decent]] parking [[lots]] too (rare for the factory), [[but]] one of the free lots is right [[below]] the street.","This is one of the [[best]] places to go for craft beer in the Charlotte area.  Large chalkboards display [[what's]] available.  They have beers from almost every local brewery in addition to beers from everywhere.  [[If]] you're like me and have a hard time deciding or do not want to commit to a particular beer, you can a flight of four 5 ounce beers.  The full beers are served in [[German]] style glass mugs.  They also have [[ice]] rails on the bar in case you're drinking a crappy beer that [[needs]] to be enjoyed cold.  they serve food too - my [[friends]] said the pretzel was awesome.  They also have some games [[like]] Jenga as [[well]] as ping pong tables.  They have a [[small]] parking [[lot]] too (rare for the factory), [[plus]] one of the free lots is right [[across]] the street.",1.5,2.6666666666666665,1.0,3.5
bae,yelp,153,1,0,0.818766975,0.936584473,0.9453847,0.9881729,0.543598536,0.9907415,0.507037946,0.98293984,0.184717432,0.448217147,0.842748397,0.69911859,0.721554487,0.895905918,0.154339727,,"One Stop Auto is the only repair shop I will ever use! They have [[demonstrated]] to me that they are the most honest and [[always]] knowledgable mechanics [[myself]] have [[then]] dealt with. When a dealership told me [[their]] would have to replace my AC compressor for $800 I took it to One Stop where they found a small leak, plugged it and recharged my system for under $50! They [[leaned]] over backwards to fix my problem the first time and go the [[additional]] mile to get my car repaired and back to me in the time and at the price quoted! I have never received the [[lack]] of service and concern from a service provider [[if]] I have from One Stop! They have [[been]] a customer for life!","One Stop Auto is the only repair shop I will ever use! They have [[proven]] to me that they are the most honest and [[consistently]] knowledgable mechanics [[I]] have [[ever]] dealt with. When a dealership told me [[I]] would have to replace my AC compressor for $800 I took it to One Stop where they found a small leak, plugged it and recharged my system for under $50! They [[bend]] over backwards to fix my problem the first time and go the [[extra]] mile to get my car repaired and back to me in the time and at the price quoted! I have never received the [[kind]] of service and concern from a service provider [[like]] I have from One Stop! They have [[gained]] a customer for life!",2.6666666666666665,3.75,1.0,4.0
